State,Rate
Louisiana,19.1
Mississippi,19.1
New Mexico,17.2
West Virginia,15.6
Arkansas,15.0
Alabama,14.7
South Carolina,14.4
Kentucky,14.2
District of Columbia,13.7
North Carolina,13.6
Georgia,13.3
Florida,12.9
Texas,12.7
Ohio,12.4
Oklahoma,12.4
Nevada,12.2
Arizona,12.1
New York,12.1
Tennessee,12.1
Alaska,11.8
United States,11.5
Maine,11.5
California,11.4
Indiana,11.1
Missouri,11.0
Michigan,10.7
South Dakota,10.6
Pennsylvania,10.5
Wyoming,10.5
Illinois,10.4
Kansas,10.4
Nebraska,10.3
Montana,10.1
North Dakota,10.1
Idaho,10.0
Oregon,9.8
Rhode Island,9.8
Connecticut,9.7
Virginia,9.7
Hawaii,9.4
Massachusetts,9.2
Colorado,9.1
Vermont,9.0
Washington,8.8
Wisconsin,8.7
Iowa,8.6
New Jersey,8.2
Delaware,7.6
Utah,7.6
Maryland,7.5
Minnesota,7.4
New Hampshire,5.6