,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,35.7929515,2.2523766,453.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,30.1082345,1.0396048,1947.0395,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,35.5343431,1.2536156,1457.632,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,21.3749475,0.758636,2920.1094,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,15.2078999,0.3568009,10129.1449,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,31.4923148,0.8592845,2921.9309,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,20.1357466,0.899398,1988.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,13.5869565,2.0662573,275.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,16.6080844,1.5615201,568.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,21.6956258,0.4512237,8344.0015,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,24.9925298,0.7397171,3425.9688,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,12.0041754,1.4865628,478.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,48.1515219,1.0292898,2356.5178,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,43.0478707,1.4412151,1180.3316,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,34.8411855,0.5935462,6444.0218,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,41.2555354,0.8196935,3607.0002,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,40.1775094,1.1422963,1842.0015,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,36.5005419,1.0002879,2316.4308,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,26.0836009,1.0075107,1899.3676,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,18.8216341,0.7398916,2791.0105,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,17.1577587,0.8028826,2204.9985,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,17.2397326,1.1679127,1046.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,32.4961204,0.6070831,5952.0134,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,35.0237998,0.9226509,2673.2698,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,39.7478929,0.8966208,2978.9879,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,30.4958897,1.3273335,1203.0721,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,48.9733973,1.7010848,863.5847,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,22.5346878,0.6577448,4035.004,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,56.224352,2.1765163,519.557,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,46.7649826,1.3965282,1276.4939,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,14.7442873,1.170179,918.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,17.7796298,0.6987555,2993.9988,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,30.3799031,1.3410115,1176.1318,state,fb-survey
33,nv,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,28.5011005,1.3841875,1063.5824,state,fb-survey
34,ny,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,17.3271277,0.4755981,6332.9996,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,30.4387255,0.5887723,6108.0038,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,38.2920114,1.0530576,2130.8128,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,18.1718089,0.8154789,2236.02,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,21.6102402,0.5189601,6290.0041,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,23.1848902,1.7157418,604.9895,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,24.7721357,0.8243984,2742.0029,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,59.0147637,1.8867119,679.4804,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,35.1397682,0.8529802,3132.5608,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,30.4154532,0.4644288,9812.2567,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,39.5803341,1.1788548,1720.8268,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,20.6559685,0.6502091,3876.625,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,16.3847929,1.7036935,472.0014,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,20.7156232,0.6844446,3505.9768,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,41.2241712,0.8434395,3405.9859,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,32.1395197,1.3436193,1208.1027,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-11-08,,2020-11-10,2,43.3563342,2.4182463,419.9551,state,fb-survey
